srch_id,site_id,visitor_location_country_id,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,position,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,click_bool,booking_bool,date_time_split,srch_month,srch_year,booking_month,vis_star,vis_usd,prop_hist_price,cat_price_usd,gross_price_difference,all_comp_rates,count_comp_rates,count_comp_inv,comps_perc_diff
1,12,187,219,893,3,3.5,1,3.0,0.0,27,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,2,2,0,0.0,0.0,0.0,0
1,12,187,219,10404,4,4.0,1,2.0,0.0,26,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,4,0,0.0,0.0,1.0,0
1,12,187,219,21315,3,4.5,1,2.0,0.0,21,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,2,4,0,0.0,0.0,0.0,0
1,12,187,219,27348,2,4.0,1,3.0,0.0,34,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,1,5,0,-1.0,-3.0,1.0,1
1,12,187,219,29604,4,3.5,1,3.0,0.1,4,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,2,3,0,0.0,0.0,0.0,0
1,12,187,219,30184,4,4.5,1,3.0,0.1,7,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,4,0,0.0,0.0,0.0,1
1,12,187,219,44147,3,3.5,1,2.0,0.0,18,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,2,3,0,0.0,0.0,0.0,0
1,12,187,219,50984,2,0.0,0,2.0,0.1,35,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,0,1,0,2.0,0.0,0.0,0
1,12,187,219,53341,4,4.0,1,3.0,0.1,3,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,3,0,0.0,0.0,0.0,1
1,12,187,219,56880,4,4.0,1,3.0,0.1,10,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,5,0,0.0,0.0,0.0,0
1,12,187,219,59267,3,0.0,1,2.0,0.1,20,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,4,0,0.0,1.0,0.0,2
1,12,187,219,59526,3,3.5,0,2.0,0.0,19,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,2,2,0,-1.0,0.0,0.0,3
1,12,187,219,68914,2,3.0,1,2.0,0.0,13,0,23246,1,0,3,0,1,1,0,0,1,1,1,2013-04-04 08:32:15,4,2013,4,0,0,1,2,1,0.0,0.0,-1.0,2
1,12,187,219,74474,3,4.5,1,2.0,0.1,2,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,4,0,0.0,0.0,0.0,0
1,12,187,219,81437,3,4.0,1,2.0,0.0,15,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,3,0,0.0,0.0,0.0,0
1,12,187,219,85728,2,3.0,1,2.0,0.0,31,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,1,2,0,0.0,1.0,-1.0,2
1,12,187,219,88096,4,4.0,1,3.0,0.1,23,1,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,3,0,0.0,1.0,0.0,1
1,12,187,219,88127,3,3.0,1,1.0,0.0,36,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,2,3,0,0.0,0.0,0.0,0
1,12,187,219,88218,4,3.5,1,3.0,0.1,8,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,2,0,0.0,0.0,-1.0,0
1,12,187,219,89073,4,4.0,1,2.0,0.0,6,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,4,4,0,0.0,0.0,0.0,1
1,12,187,219,95166,3,4.0,1,3.0,0.0,28,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,1,2,0,0.0,0.0,0.0,2
1,12,187,219,95307,4,3.5,1,2.0,0.1,1,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,2,3,0,-1.0,-1.0,1.0,4
1,12,187,219,97247,2,3.5,1,3.0,0.0,32,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,1,2,0,-1.0,0.0,1.0,1
1,12,187,219,107872,2,3.5,1,3.0,0.0,12,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,1,3,0,0.0,1.0,-1.0,3
1,12,187,219,111000,3,4.5,1,2.0,0.0,24,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,3,4,0,0.0,0.0,0.0,0
1,12,187,219,111106,3,2.5,1,1.0,0.0,37,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,1,2,0,0.0,0.0,0.0,0
1,12,187,219,114766,2,3.5,1,2.0,0.0,33,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,1,2,0,2.0,0.0,-1.0,0
1,12,187,219,122844,3,4.5,1,2.0,0.0,29,0,23246,1,0,3,0,1,1,0,0,1,0,0,2013-04-04 08:32:15,4,2013,4,0,0,4,4,0,0.0,0.0,0.0,0
4,5,219,219,3625,4,4.0,0,3.0,0.3,21,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,11622,4,4.0,0,3.0,0.1,36,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,11826,5,4.5,1,3.0,0.2,22,1,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,22824,3,4.0,0,3.0,0.4,4,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,37581,5,4.5,0,3.0,0.3,26,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,39993,4,4.0,1,3.0,0.2,3,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,46162,4,4.5,0,3.0,0.4,24,1,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,49152,4,4.5,1,3.0,0.1,9,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,56063,4,4.5,0,3.0,0.3,18,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,56472,4,4.5,1,1.0,0.0,10,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,4,5,0,2.0,0.0,0.0,0
4,5,219,219,58696,0,4.5,0,2.0,0.1,29,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,4,4,0,2.0,0.0,0.0,0
4,5,219,219,64344,4,3.0,1,2.0,0.1,31,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
4,5,219,219,65984,2,3.5,0,3.0,0.2,25,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,3,4,0,2.0,0.0,0.0,0
4,5,219,219,71258,1,2.0,0,1.0,0.0,19,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,0,0,0,2.0,0.0,0.0,0
4,5,219,219,75491,2,3.5,0,3.0,0.4,8,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,4,4,0,2.0,0.0,0.0,0
4,5,219,219,81172,0,4.0,0,1.0,0.1,33,0,12588,2,7,1,0,1,1,0,3,1,0,0,2012-12-31 08:59:22,12,2012,2,0,0,5,5,0,2.0,0.0,0.0,0
